qid,prediction,gt_label
3998,Abstain,True
4000,True,True
4171,True,True
4185,False,True
4367,True,True
4368,Abstain,True
4501,True,True
4510,Abstain,True
4645,True,True
4891,True,True
4939,Abstain,True
4957,Abstain,True
4971,Abstain,True
4999,True,True
5052,Abstain,True
5124,Abstain,True
5155,Abstain,True
5156,Abstain,True
5165,Abstain,True
5186,Abstain,True
5220,Abstain,True
5244,Abstain,True
5251,True,True
5273,Abstain,True
5319,False,True
5325,True,True
5327,True,True
5341,Abstain,True
5374,Abstain,True
5385,True,True
5422,True,True
5485,Abstain,True
5540,Abstain,True
5589,Abstain,True
5593,Abstain,True
5663,Abstain,False
5740,False,False
5788,Abstain,False
5825,Abstain,False
5913,Abstain,False
5924,Abstain,False
5944,Abstain,False
5946,Abstain,False
6353,True,False
6360,Abstain,False
6378,True,False
6417,False,False
6432,True,False
6434,Abstain,False
6438,Abstain,False
6440,Abstain,False
6485,True,False
6514,Abstain,False
6563,True,False
6666,Abstain,False
6697,Abstain,False
6761,Abstain,False
6771,False,False
6803,Abstain,False
6811,Abstain,False
6815,True,False
6842,Abstain,False
6848,Abstain,False
6857,Abstain,False
6914,Abstain,False
6928,Abstain,False
6960,False,False
6985,Abstain,False
6988,Abstain,False
6992,Abstain,False
7055,Abstain,False
7062,Abstain,False
10143,Abstain,False
10182,Abstain,False
10206,Abstain,False
11786,Abstain,True
11869,False,True
11897,True,True
11925,True,True
11962,Abstain,True
11968,True,True
12733,True,True
12741,True,True
12784,Abstain,True
12787,Abstain,True
12799,True,True
12803,True,True
12807,True,True
12815,True,True
12817,True,True
12868,Abstain,False
12892,Abstain,False
12895,Abstain,False
12901,Abstain,False
12924,Abstain,False
12926,Abstain,False
12938,Abstain,False
12942,Abstain,False
12972,True,False
12989,Abstain,False
